data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
base,standard_mlp,Remove_Metal,Nd,train_config_0,0.6397554874420166,0.04021822288632393,0.15365925431251526,0.4725729823112488,0.05594256520271301,0.19064174592494965,1889,79,172,11
base,standard_mlp,Remove_Metal,Hf,train_config_0,0.4822959303855896,0.05797816812992096,0.19910404086112976,0.5715707540512085,0.041814230382442474,0.1757429987192154,1903,65,179,4
base,standard_mlp,Remove_Metal,Pr,train_config_0,0.45619744062423706,0.060651637613773346,0.20890893042087555,0.35521483421325684,0.07045817375183105,0.22236154973506927,1876,92,174,9
base,standard_mlp,Remove_Metal,La,train_config_0,0.386873722076416,0.0685783177614212,0.2257639467716217,0.31149619817733765,0.07363983988761902,0.23750555515289307,1819,149,171,12
base,standard_mlp,Remove_Metal,Eu,train_config_0,0.5999228954315186,0.04462951421737671,0.16216108202934265,0.3640627861022949,0.06547374278306961,0.2257785201072693,1925,43,180,3
base,standard_mlp,Remove_Metal,Tb,train_config_0,0.529931366443634,0.052502118051052094,0.18404802680015564,0.6818239092826843,0.03204412758350372,0.14673973619937897,1943,25,181,2
base,standard_mlp,Remove_Metal,Ti,train_config_0,0.4596647620201111,0.06036020442843437,0.2066231667995453,0.6521160006523132,0.02864617109298706,0.13265985250473022,1945,23,181,2
converted_slot_method,standard_mlp,Random_by_Material,0.2,train_config_0,0.733964741230011,0.029735088348388672,0.12572774291038513,0.5804656147956848,0.04666833207011223,0.15694411098957062,1559,390,144,37
converted_slot_method,standard_mlp,Remove_Metal,Fe,train_config_0,0.7834183573722839,0.02444823645055294,0.11097349226474762,0.6904892921447754,0.028887372463941574,0.1186579018831253,1808,141,170,11
converted_slot_method,standard_mlp,Remove_Metal,Mn,train_config_0,0.06542527675628662,0.10322360694408417,0.2886832654476166,-0.004824638366699219,0.11300229281187057,0.3005920350551605,1284,665,123,58
converted_slot_method,standard_mlp,Remove_Metal,Cu,train_config_0,0.45587748289108276,0.060212645679712296,0.21210350096225739,0.17765498161315918,0.090105801820755,0.24751582741737366,1523,426,128,53
converted_slot_method,standard_mlp,Remove_Metal,Zr,train_config_0,0.1163296103477478,0.0993976816534996,0.2822725772857666,-0.027656078338623047,0.10195738822221756,0.28245672583580017,1746,203,164,17
converted_slot_method,standard_mlp,Remove_Metal,Co,train_config_0,0.42017102241516113,0.06449156999588013,0.22079750895500183,0.20526385307312012,0.09498568624258041,0.26567766070365906,1845,104,167,14
converted_slot_method,standard_mlp,Remove_Metal,Ni,train_config_0,0.6826353073120117,0.03525691479444504,0.14332006871700287,0.6195249557495117,0.04578765109181404,0.16337992250919342,1859,90,170,11
converted_slot_method,standard_mlp,Remove_Metal,Sn,train_config_0,0.7319836616516113,0.02986001782119274,0.1282173991203308,0.6946607828140259,0.033852458000183105,0.1376284509897232,1921,28,178,3
converted_slot_method,standard_mlp,Remove_Metal,Gd,train_config_0,0.26836979389190674,0.08221472799777985,0.2532823979854584,0.21933341026306152,0.0818352922797203,0.23543955385684967,1757,192,164,17
converted_slot_method,standard_mlp,Remove_Metal,Bi,train_config_0,0.4241423010826111,0.06465432792901993,0.22094210982322693,0.456514835357666,0.05219249799847603,0.1848623901605606,1818,131,168,13
converted_slot_method,standard_mlp,Remove_Metal,Sm,train_config_0,0.6853859424591064,0.035153184086084366,0.1447407454252243,0.7594499588012695,0.02647193893790245,0.10665583610534668,1818,131,169,12
converted_slot_method,standard_mlp,Remove_Metal,Nd,train_config_0,0.7235888242721558,0.030896972864866257,0.1297764927148819,0.561044454574585,0.04665236175060272,0.17031534016132355,1877,72,171,10
converted_slot_method,standard_mlp,Remove_Metal,Hf,train_config_0,0.4768778085708618,0.058651071041822433,0.2060166895389557,0.41113346815109253,0.05747274309396744,0.20522631704807281,1884,65,177,4
converted_slot_method,standard_mlp,Remove_Metal,Pr,train_config_0,0.6425825357437134,0.03990466520190239,0.15859395265579224,0.41923123598098755,0.06346285343170166,0.19667446613311768,1857,92,172,9
converted_slot_method,standard_mlp,Remove_Metal,La,train_config_0,0.7583388090133667,0.02706223540008068,0.11876315623521805,0.7416787147521973,0.027629094198346138,0.13106124103069305,1800,149,169,12
converted_slot_method,standard_mlp,Remove_Metal,Eu,train_config_0,0.4938812851905823,0.056520819664001465,0.20137596130371094,0.19318079948425293,0.08306711912155151,0.2567804455757141,1906,43,178,3
converted_slot_method,standard_mlp,Remove_Metal,Tb,train_config_0,0.742297887802124,0.028813395649194717,0.12381184101104736,0.9580060243606567,0.004229296930134296,0.04844950512051582,1924,25,179,2
converted_slot_method,standard_mlp,Remove_Metal,Ti,train_config_0,0.6459677219390869,0.03958916664123535,0.1556597352027893,0.9242969155311584,0.006233695894479752,0.06609881669282913,1926,23,179,2
converted_weighted_method_mean_and_std,standard_mlp,Random_by_Material,0.2,train_config_0,0.6842441558837891,0.03525568172335625,0.1465960443019867,0.6197308301925659,0.04218779131770134,0.16255484521389008,1566,402,146,37
converted_weighted_method_mean_and_std,standard_mlp,Remove_Metal,Fe,train_config_0,0.738645076751709,0.029469076544046402,0.12723201513290405,0.6844667792320251,0.029449472203850746,0.12733694911003113,1827,141,172,11
converted_weighted_method_mean_and_std,standard_mlp,Remove_Metal,Mn,train_config_0,0.4556117057800293,0.06012758985161781,0.21140310168266296,0.185011088848114,0.09121564775705338,0.25532230734825134,1284,684,123,60
