data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
converted_slot_method,standard_mlp,Remove_Metal,Ti,train_config_0,0.6540337800979614,0.038874320685863495,0.15573346614837646,0.9699756503105164,0.002472326857969165,0.04500545561313629,1844,23,173,2
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Fe,train_config_0,0.6964603662490845,0.03445262461900711,0.1407497376203537,0.6986609697341919,0.028124690055847168,0.13405953347682953,1726,141,164,11
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Mn,train_config_0,0.3192528486251831,0.07577230781316757,0.2363622933626175,-0.03708672523498535,0.11640676856040955,0.288045197725296,1211,656,119,56
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Cu,train_config_0,0.30399930477142334,0.07739859819412231,0.23807530105113983,-0.16104364395141602,0.12773878872394562,0.29713496565818787,1451,416,124,51
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Zr,train_config_0,0.26841509342193604,0.08282118290662766,0.24563072621822357,-0.09647846221923828,0.1092253252863884,0.28148677945137024,1664,203,158,17
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Co,train_config_0,0.5938043594360352,0.045399196445941925,0.17024622857570648,0.4581907391548157,0.06475623697042465,0.19933971762657166,1763,104,161,14
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Ni,train_config_0,0.6104048490524292,0.04348539188504219,0.16649772226810455,0.7003093957901001,0.03606577217578888,0.14307574927806854,1777,90,164,11
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Sn,train_config_0,0.5868326425552368,0.04615229368209839,0.17043469846248627,0.528019905090332,0.05908763036131859,0.19205980002880096,1813,54,167,8
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Gd,train_config_0,0.20389610528945923,0.08995368331670761,0.2596251368522644,0.2928522229194641,0.07412850111722946,0.2316976934671402,1675,192,158,17
converted_slot_method,standard_mlp_sigmoid_curve,Remove_Metal,Bi,train_config_0,0.22013509273529053,0.08801305294036865,0.2572549879550934,0.46708422899246216,0.0511774867773056,0.1944795846939087,1736,131,162,13
